date,Volume,Open,Close,High,Low,symbol
1983-03-04,0.0,265.94,265.94,265.94,265.94,^IXIC
1983-03-07,0.0,265.39,265.39,265.39,265.39,^IXIC
1983-03-08,0.0,263.16,263.16,263.16,263.16,^IXIC
1983-03-09,0.0,265.06,265.06,265.06,265.06,^IXIC
1983-03-10,0.0,266.08,266.08,266.08,266.08,^IXIC
1983-03-11,0.0,266.18,266.18,266.18,266.18,^IXIC
1983-03-14,0.0,264.34,264.34,264.34,264.34,^IXIC
1983-03-15,0.0,264.25,264.25,264.25,264.25,^IXIC
1983-03-16,0.0,264.66,264.66,264.66,264.66,^IXIC
1983-03-17,0.0,264.01,264.01,264.01,264.01,^IXIC
1983-03-18,0.0,265.01,265.01,265.01,265.01,^IXIC
1983-03-21,0.0,266.33,266.33,266.33,266.33,^IXIC
1983-03-22,0.0,267.52,267.52,267.52,267.52,^IXIC
1983-03-23,0.0,269.26,269.26,269.26,269.26,^IXIC
1983-03-24,0.0,270.37,270.37,270.37,270.37,^IXIC
1983-03-25,0.0,270.89,270.89,270.89,270.89,^IXIC
1983-03-28,0.0,269.15,269.15,269.15,269.15,^IXIC
1983-03-29,0.0,268.77,268.77,268.77,268.77,^IXIC
1983-03-30,0.0,270.78,270.78,270.78,270.78,^IXIC
1983-03-31,0.0,270.8,270.8,270.8,270.8,^IXIC
1983-04-04,0.0,268.73,268.73,268.73,268.73,^IXIC
1983-04-05,0.0,268.83,268.83,268.83,268.83,^IXIC
1983-04-06,0.0,266.47,266.47,266.47,266.47,^IXIC
1983-04-07,0.0,266.74,266.74,266.74,266.74,^IXIC
1983-04-08,0.0,268.1,268.1,268.1,268.1,^IXIC
1983-04-11,0.0,270.81,270.81,270.81,270.81,^IXIC
1983-04-12,0.0,272.73,272.73,272.73,272.73,^IXIC
1983-04-13,0.0,275.93,275.93,275.93,275.93,^IXIC
1983-04-14,0.0,278.81,278.81,278.81,278.81,^IXIC
1983-04-15,0.0,281.6,281.6,281.6,281.6,^IXIC
1983-04-18,0.0,282.83,282.83,282.83,282.83,^IXIC
1983-04-19,0.0,281.86,281.86,281.86,281.86,^IXIC
1983-04-20,0.0,284.81,284.81,284.81,284.81,^IXIC
1983-04-21,0.0,286.84,286.84,286.84,286.84,^IXIC
1983-04-22,0.0,288.55,288.55,288.55,288.55,^IXIC
1983-04-25,0.0,286.58,286.58,286.58,286.58,^IXIC
1983-04-26,0.0,288.11,288.11,288.11,288.11,^IXIC
1983-04-27,0.0,288.93,288.93,288.93,288.93,^IXIC
1983-04-28,0.0,290.84,290.84,290.84,290.84,^IXIC
1983-04-29,0.0,293.06,293.06,293.06,293.06,^IXIC
1983-05-02,0.0,290.54,290.54,290.54,290.54,^IXIC
1983-05-03,0.0,289.65,289.65,289.65,289.65,^IXIC
1983-05-04,0.0,293.21,293.21,293.21,293.21,^IXIC
1983-05-05,0.0,297.32,297.32,297.32,297.32,^IXIC
1983-05-06,0.0,301.64,301.64,301.64,301.64,^IXIC
1983-05-09,0.0,302.65,302.65,302.65,302.65,^IXIC
1983-05-10,0.0,304.34,304.34,304.34,304.34,^IXIC
1983-05-11,0.0,302.89,302.89,302.89,302.89,^IXIC
1983-05-12,0.0,302.15,302.15,302.15,302.15,^IXIC
1983-05-13,0.0,303.94,303.94,303.94,303.94,^IXIC
1983-05-16,0.0,299.6,299.6,299.6,299.6,^IXIC
1983-05-17,0.0,301.02,301.02,301.02,301.02,^IXIC
1983-05-18,0.0,303.51,303.51,303.51,303.51,^IXIC
1983-05-19,0.0,302.82,302.82,302.82,302.82,^IXIC
1983-05-20,0.0,303.56,303.56,303.56,303.56,^IXIC
1983-05-23,0.0,303.86,303.86,303.86,303.86,^IXIC
1983-05-24,0.0,307.36,307.36,307.36,307.36,^IXIC
1983-05-25,0.0,309.16,309.16,309.16,309.16,^IXIC
1983-05-26,0.0,311.39,311.39,311.39,311.39,^IXIC
1983-05-27,0.0,312.05,312.05,312.05,312.05,^IXIC
1983-05-31,0.0,308.73,308.73,308.73,308.73,^IXIC
1983-06-01,0.0,307.95,307.95,307.95,307.95,^IXIC
1983-06-02,0.0,310.45,310.45,310.45,310.45,^IXIC
1983-06-03,0.0,313.85,313.85,313.85,313.85,^IXIC
1983-06-06,0.0,315.48,315.48,315.48,315.48,^IXIC
1983-06-07,0.0,314.17,314.17,314.17,314.17,^IXIC
1983-06-08,0.0,312.49,312.49,312.49,312.49,^IXIC
1983-06-09,0.0,312.74,312.74,312.74,312.74,^IXIC
1983-06-10,0.0,315.24,315.24,315.24,315.24,^IXIC
1983-06-13,0.0,318.05,318.05,318.05,318.05,^IXIC
1983-06-14,0.0,320.04,320.04,320.04,320.04,^IXIC
1983-06-15,0.0,322.04,322.04,322.04,322.04,^IXIC
1983-06-16,0.0,326.5,326.5,326.5,326.5,^IXIC
1983-06-17,0.0,326.11,326.11,326.11,326.11,^IXIC
1983-06-20,0.0,324.63,324.63,324.63,324.63,^IXIC
1983-06-21,0.0,325.96,325.96,325.96,325.96,^IXIC
1983-06-22,0.0,328.19,328.19,328.19,328.19,^IXIC
1983-06-23,0.0,327.33,327.33,327.33,327.33,^IXIC
1983-06-24,0.0,328.91,328.91,328.91,328.91,^IXIC
1983-06-27,0.0,324.34,324.34,324.34,324.34,^IXIC
1983-06-28,0.0,315.87,315.87,315.87,315.87,^IXIC
1983-06-29,0.0,316.24,316.24,316.24,316.24,^IXIC
1983-06-30,0.0,318.7,318.7,318.7,318.7,^IXIC
1983-07-01,0.0,321.58,321.58,321.58,321.58,^IXIC
1983-07-05,0.0,317.15,317.15,317.15,317.15,^IXIC
1983-07-06,0.0,319.14,319.14,319.14,319.14,^IXIC
1983-07-07,0.0,320.03,320.03,320.03,320.03,^IXIC
1983-07-08,0.0,319.57,319.57,319.57,319.57,^IXIC
1983-07-11,0.0,320.38,320.38,320.38,320.38,^IXIC
1983-07-12,0.0,316.93,316.93,316.93,316.93,^IXIC
1983-07-13,0.0,314.59,314.59,314.59,314.59,^IXIC
1983-07-14,0.0,315.49,315.49,315.49,315.49,^IXIC
1983-07-15,0.0,312.87,312.87,312.87,312.87,^IXIC
1983-07-18,0.0,310.29,310.29,310.29,310.29,^IXIC
1983-07-19,0.0,311.17,311.17,311.17,311.17,^IXIC
1983-07-20,0.0,316.76,316.76,316.76,316.76,^IXIC
1983-07-21,0.0,319.29,319.29,319.29,319.29,^IXIC
1983-07-22,0.0,320.71,320.71,320.71,320.71,^IXIC
1983-07-25,0.0,320.84,320.84,320.84,320.84,^IXIC
1983-07-26,0.0,320.38,320.38,320.38,320.38,^IXIC
1983-07-27,0.0,315.04,315.04,315.04,315.04,^IXIC
1983-07-28,0.0,308.47,308.47,308.47,308.47,^IXIC
1983-07-29,0.0,303.96,303.96,303.96,303.96,^IXIC
1983-08-01,0.0,302.08,302.08,302.08,302.08,^IXIC
1983-08-02,0.0,303.18,303.18,303.18,303.18,^IXIC
1983-08-03,0.0,303.86,303.86,303.86,303.86,^IXIC
1983-08-04,0.0,299.7,299.7,299.7,299.7,^IXIC
1983-08-05,0.0,300.2,300.2,300.2,300.2,^IXIC
1983-08-08,0.0,294.93,294.93,294.93,294.93,^IXIC
1983-08-09,0.0,294.26,294.26,294.26,294.26,^IXIC
1983-08-10,0.0,296.65,296.65,296.65,296.65,^IXIC
1983-08-11,0.0,297.56,297.56,297.56,297.56,^IXIC
1983-08-12,0.0,299.58,299.58,299.58,299.58,^IXIC
1983-08-15,0.0,301.78,301.78,301.78,301.78,^IXIC
1983-08-16,0.0,299.85,299.85,299.85,299.85,^IXIC
1983-08-17,0.0,300.84,300.84,300.84,300.84,^IXIC
