date,Volume,Open,Close,High,Low,symbol
2022-10-05,0.0,22.28,25.39,26.44,20.38,^MMFI
2022-10-06,0.0,25.19,25.28,26.98,24.16,^MMFI
2022-10-07,0.0,21.89,18.14,21.89,17.61,^MMFI
2022-10-10,0.0,17.6,16.86,17.91,15.8,^MMFI
2022-10-11,0.0,14.55,16.04,19.14,14.09,^MMFI
2022-10-12,0.0,14.66,16.36,17.29,14.66,^MMFI
2022-10-13,0.0,11.01,23.17,23.47,11.01,^MMFI
2022-10-14,0.0,22.87,18.33,22.87,17.91,^MMFI
2022-10-17,0.0,22.54,24.85,25.17,22.31,^MMFI
2022-10-18,0.0,32.03,29.92,32.03,27.72,^MMFI
2022-10-19,0.0,27.67,26.04,28.68,23.87,^MMFI
2022-10-20,0.0,26.37,23.85,29.79,22.68,^MMFI
2022-10-21,0.0,24.86,32.17,32.17,24.86,^MMFI
2022-10-24,0.0,32.31,34.63,35.0,31.39,^MMFI
2022-10-25,0.0,40.51,43.85,44.0,40.51,^MMFI
2022-10-26,0.0,47.09,45.89,51.7,45.82,^MMFI
2022-10-27,0.0,48.44,47.38,51.17,47.27,^MMFI
2022-10-28,0.0,49.53,55.51,55.53,47.78,^MMFI
2022-10-31,0.0,54.71,55.03,56.88,53.97,^MMFI
2022-11-01,0.0,60.95,57.59,60.95,57.51,^MMFI
