date,Volume,Open,Close,High,Low,symbol
1972-10-31,0.0,11.5,11.5,11.5,11.5,PHIRYY
1972-11-30,0.0,5.8,5.8,5.8,5.8,PHIRYY
1972-12-31,0.0,4.8,4.8,4.8,4.8,PHIRYY
1973-01-31,0.0,7.3,7.3,7.3,7.3,PHIRYY
1973-02-28,0.0,5.5,5.5,5.5,5.5,PHIRYY
1973-03-31,0.0,10.1,10.1,10.1,10.1,PHIRYY
1973-04-30,0.0,9.6,9.6,9.6,9.6,PHIRYY
1973-05-31,0.0,10.4,10.4,10.4,10.4,PHIRYY
1973-06-30,0.0,11.6,11.6,11.6,11.6,PHIRYY
1973-07-31,0.0,10.9,10.9,10.9,10.9,PHIRYY
1973-08-31,0.0,16.9,16.9,16.9,16.9,PHIRYY
1973-09-30,0.0,20.0,20.0,20.0,20.0,PHIRYY
1973-10-31,0.0,21.7,21.7,21.7,21.7,PHIRYY
1973-11-30,0.0,30.6,30.6,30.6,30.6,PHIRYY
1973-12-31,0.0,33.7,33.7,33.7,33.7,PHIRYY
1974-01-31,0.0,34.4,34.4,34.4,34.4,PHIRYY
1974-02-28,0.0,36.7,36.7,36.7,36.7,PHIRYY
1974-03-31,0.0,37.1,37.1,37.1,37.1,PHIRYY
1974-04-30,0.0,36.0,36.0,36.0,36.0,PHIRYY
1974-05-31,0.0,35.5,35.5,35.5,35.5,PHIRYY
1974-06-30,0.0,34.8,34.8,34.8,34.8,PHIRYY
1974-07-31,0.0,35.2,35.2,35.2,35.2,PHIRYY
1974-08-31,0.0,31.3,31.3,31.3,31.3,PHIRYY
1974-09-30,0.0,27.7,27.7,27.7,27.7,PHIRYY
1974-10-31,0.0,28.5,28.5,28.5,28.5,PHIRYY
1974-11-30,0.0,26.4,26.4,26.4,26.4,PHIRYY
1974-12-31,0.0,22.2,22.2,22.2,22.2,PHIRYY
1975-01-31,0.0,14.7,14.7,14.7,14.7,PHIRYY
1975-02-28,0.0,11.4,11.4,11.4,11.4,PHIRYY
1975-03-31,0.0,9.0,9.0,9.0,9.0,PHIRYY
1975-04-30,0.0,8.4,8.4,8.4,8.4,PHIRYY
1975-05-31,0.0,6.5,6.5,6.5,6.5,PHIRYY
1975-06-30,0.0,4.0,4.0,4.0,4.0,PHIRYY
1975-07-31,0.0,1.2,1.2,1.2,1.2,PHIRYY
1975-08-31,0.0,0.6,0.6,0.6,0.6,PHIRYY
1975-09-30,0.0,0.9,0.9,0.9,0.9,PHIRYY
1975-10-31,0.0,0.3,0.3,0.3,0.3,PHIRYY
1975-11-30,0.0,0.0,0.0,0.0,0.0,PHIRYY
1975-12-31,0.0,1.5,1.5,1.5,1.5,PHIRYY
1976-01-31,0.0,4.9,4.9,4.9,4.9,PHIRYY
1976-02-29,0.0,6.7,6.7,6.7,6.7,PHIRYY
1976-03-31,0.0,8.2,8.2,8.2,8.2,PHIRYY
1976-04-30,0.0,8.0,8.0,8.0,8.0,PHIRYY
1976-05-31,0.0,8.6,8.6,8.6,8.6,PHIRYY
1976-06-30,0.0,10.7,10.7,10.7,10.7,PHIRYY
1976-07-31,0.0,10.4,10.4,10.4,10.4,PHIRYY
1976-08-31,0.0,10.4,10.4,10.4,10.4,PHIRYY
1976-09-30,0.0,10.2,10.2,10.2,10.2,PHIRYY
1976-10-31,0.0,10.8,10.8,10.8,10.8,PHIRYY
1976-11-30,0.0,10.9,10.9,10.9,10.9,PHIRYY
1976-12-31,0.0,11.5,11.5,11.5,11.5,PHIRYY
1977-01-31,0.0,10.1,10.1,10.1,10.1,PHIRYY
1977-02-28,0.0,9.6,9.6,9.6,9.6,PHIRYY
1977-03-31,0.0,9.4,9.4,9.4,9.4,PHIRYY
1977-04-30,0.0,10.1,10.1,10.1,10.1,PHIRYY
1977-05-31,0.0,9.7,9.7,9.7,9.7,PHIRYY
1977-06-30,0.0,9.1,9.1,9.1,9.1,PHIRYY
1977-07-31,0.0,10.3,10.3,10.3,10.3,PHIRYY
1977-08-31,0.0,10.5,10.5,10.5,10.5,PHIRYY
1977-09-30,0.0,10.8,10.8,10.8,10.8,PHIRYY
1977-10-31,0.0,10.8,10.8,10.8,10.8,PHIRYY
1977-11-30,0.0,10.7,10.7,10.7,10.7,PHIRYY
1977-12-31,0.0,10.3,10.3,10.3,10.3,PHIRYY
1978-01-31,0.0,9.7,9.7,9.7,9.7,PHIRYY
1978-02-28,0.0,9.2,9.2,9.2,9.2,PHIRYY
1978-03-31,0.0,8.0,8.0,8.0,8.0,PHIRYY
1978-04-30,0.0,7.1,7.1,7.1,7.1,PHIRYY
1978-05-31,0.0,6.7,6.7,6.7,6.7,PHIRYY
1978-06-30,0.0,6.0,6.0,6.0,6.0,PHIRYY
1978-07-31,0.0,5.6,5.6,5.6,5.6,PHIRYY
1978-08-31,0.0,5.8,5.8,5.8,5.8,PHIRYY
1978-09-30,0.0,6.0,6.0,6.0,6.0,PHIRYY
1978-10-31,0.0,6.4,6.4,6.4,6.4,PHIRYY
1978-11-30,0.0,7.4,7.4,7.4,7.4,PHIRYY
1978-12-31,0.0,6.9,6.9,6.9,6.9,PHIRYY
1979-01-31,0.0,9.1,9.1,9.1,9.1,PHIRYY
1979-02-28,0.0,9.1,9.1,9.1,9.1,PHIRYY
1979-03-31,0.0,11.6,11.6,11.6,11.6,PHIRYY
1979-04-30,0.0,15.4,15.4,15.4,15.4,PHIRYY
1979-05-31,0.0,17.6,17.6,17.6,17.6,PHIRYY
