date,Volume,Open,Close,High,Low,symbol
1985-01-31,0.0,31.0,31.0,31.0,31.0,PHINTR
1985-02-28,0.0,24.0,24.0,24.0,24.0,PHINTR
1985-03-31,0.0,7.0,7.0,7.0,7.0,PHINTR
1985-04-30,0.0,13.0,13.0,13.0,13.0,PHINTR
1985-05-31,0.0,16.5,16.5,16.5,16.5,PHINTR
1985-07-31,0.0,18.0,18.0,18.0,18.0,PHINTR
1985-10-31,0.0,14.5,14.5,14.5,14.5,PHINTR
1985-12-31,0.0,12.0,12.0,12.0,12.0,PHINTR
1986-01-31,0.0,12.0,12.0,12.0,12.0,PHINTR
1986-02-28,0.0,6.0,6.0,6.0,6.0,PHINTR
1986-03-31,0.0,15.0,15.0,15.0,15.0,PHINTR
1986-04-30,0.0,15.0,15.0,15.0,15.0,PHINTR
1986-05-31,0.0,5.0,5.0,5.0,5.0,PHINTR
1986-06-30,0.0,9.0,9.0,9.0,9.0,PHINTR
1986-07-31,0.0,12.0,12.0,12.0,12.0,PHINTR
1986-09-30,0.0,5.0,5.0,5.0,5.0,PHINTR
1986-10-31,0.0,5.0,5.0,5.0,5.0,PHINTR
1986-11-30,0.0,5.0,5.0,5.0,5.0,PHINTR
1986-12-31,0.0,6.0,6.0,6.0,6.0,PHINTR
1987-01-31,0.0,15.0,15.0,15.0,15.0,PHINTR
1987-02-28,0.0,5.0,5.0,5.0,5.0,PHINTR
1987-03-31,0.0,6.0,6.0,6.0,6.0,PHINTR
1987-04-30,0.0,8.0,8.0,8.0,8.0,PHINTR
1987-05-31,0.0,7.0,7.0,7.0,7.0,PHINTR
1987-06-30,0.0,5.0,5.0,5.0,5.0,PHINTR
1987-07-31,0.0,5.0,5.0,5.0,5.0,PHINTR
1987-08-31,0.0,5.0,5.0,5.0,5.0,PHINTR
1987-09-30,0.0,8.25,8.25,8.25,8.25,PHINTR
1987-10-31,0.0,5.0,5.0,5.0,5.0,PHINTR
1987-11-30,0.0,13.0,13.0,13.0,13.0,PHINTR
1987-12-31,0.0,12.0,12.0,12.0,12.0,PHINTR
1988-01-31,0.0,9.0,9.0,9.0,9.0,PHINTR
1988-02-29,0.0,9.0,9.0,9.0,9.0,PHINTR
1988-03-31,0.0,5.0,5.0,5.0,5.0,PHINTR
1988-04-30,0.0,5.0,5.0,5.0,5.0,PHINTR
1988-05-31,0.0,5.0,5.0,5.0,5.0,PHINTR
1988-06-30,0.0,7.0,7.0,7.0,7.0,PHINTR
