date,Volume,Open,Close,High,Low,symbol
1972-12-31,0.0,6.9,6.9,6.9,6.9,USGDPYY
1973-03-31,0.0,7.6,7.6,7.6,7.6,USGDPYY
1973-06-30,0.0,6.3,6.3,6.3,6.3,USGDPYY
1973-09-30,0.0,4.8,4.8,4.8,4.8,USGDPYY
1973-12-31,0.0,4.0,4.0,4.0,4.0,USGDPYY
1974-03-31,0.0,0.6,0.6,0.6,0.6,USGDPYY
1974-06-30,0.0,-0.2,-0.2,-0.2,-0.2,USGDPYY
1974-09-30,0.0,-0.6,-0.6,-0.6,-0.6,USGDPYY
1974-12-31,0.0,-2.0,-2.0,-2.0,-2.0,USGDPYY
1975-03-31,0.0,-2.3,-2.3,-2.3,-2.3,USGDPYY
1975-06-30,0.0,-1.8,-1.8,-1.8,-1.8,USGDPYY
1975-09-30,0.0,0.8,0.8,0.8,0.8,USGDPYY
1975-12-31,0.0,2.6,2.6,2.6,2.6,USGDPYY
1976-03-31,0.0,6.2,6.2,6.2,6.2,USGDPYY
1976-06-30,0.0,6.2,6.2,6.2,6.2,USGDPYY
1976-09-30,0.0,5.0,5.0,5.0,5.0,USGDPYY
1976-12-31,0.0,4.3,4.3,4.3,4.3,USGDPYY
1977-03-31,0.0,3.2,3.2,3.2,3.2,USGDPYY
1977-06-30,0.0,4.5,4.5,4.5,4.5,USGDPYY
1977-09-30,0.0,5.8,5.8,5.8,5.8,USGDPYY
1977-12-31,0.0,5.0,5.0,5.0,5.0,USGDPYY
1978-03-31,0.0,4.1,4.1,4.1,4.1,USGDPYY
1978-06-30,0.0,6.1,6.1,6.1,6.1,USGDPYY
1978-09-30,0.0,5.3,5.3,5.3,5.3,USGDPYY
1978-12-31,0.0,6.7,6.7,6.7,6.7,USGDPYY
1979-03-31,0.0,6.5,6.5,6.5,6.5,USGDPYY
1979-06-30,0.0,2.7,2.7,2.7,2.7,USGDPYY
1979-09-30,0.0,2.4,2.4,2.4,2.4,USGDPYY
1979-12-31,0.0,1.3,1.3,1.3,1.3,USGDPYY
1980-03-31,0.0,1.4,1.4,1.4,1.4,USGDPYY
1980-06-30,0.0,-0.8,-0.8,-0.8,-0.8,USGDPYY
1980-09-30,0.0,-1.6,-1.6,-1.6,-1.6,USGDPYY
1980-12-31,0.0,0.0,0.0,0.0,0.0,USGDPYY
1981-03-31,0.0,1.6,1.6,1.6,1.6,USGDPYY
1981-06-30,0.0,3.0,3.0,3.0,3.0,USGDPYY
1981-09-30,0.0,4.3,4.3,4.3,4.3,USGDPYY
1981-12-31,0.0,1.3,1.3,1.3,1.3,USGDPYY
1982-03-31,0.0,-2.2,-2.2,-2.2,-2.2,USGDPYY
1982-06-30,0.0,-1.0,-1.0,-1.0,-1.0,USGDPYY
1982-09-30,0.0,-2.6,-2.6,-2.6,-2.6,USGDPYY
1982-12-31,0.0,-1.4,-1.4,-1.4,-1.4,USGDPYY
1983-03-31,0.0,1.4,1.4,1.4,1.4,USGDPYY
1983-06-30,0.0,3.3,3.3,3.3,3.3,USGDPYY
1983-09-30,0.0,5.7,5.7,5.7,5.7,USGDPYY
1983-12-31,0.0,7.9,7.9,7.9,7.9,USGDPYY
1984-03-31,0.0,8.6,8.6,8.6,8.6,USGDPYY
1984-06-30,0.0,8.0,8.0,8.0,8.0,USGDPYY
1984-09-30,0.0,6.9,6.9,6.9,6.9,USGDPYY
1984-12-31,0.0,5.6,5.6,5.6,5.6,USGDPYY
1985-03-31,0.0,4.6,4.6,4.6,4.6,USGDPYY
1985-06-30,0.0,3.7,3.7,3.7,3.7,USGDPYY
1985-09-30,0.0,4.3,4.3,4.3,4.3,USGDPYY
1985-12-31,0.0,4.2,4.2,4.2,4.2,USGDPYY
1986-03-31,0.0,4.2,4.2,4.2,4.2,USGDPYY
1986-06-30,0.0,3.7,3.7,3.7,3.7,USGDPYY
1986-09-30,0.0,3.1,3.1,3.1,3.1,USGDPYY
1986-12-31,0.0,2.9,2.9,2.9,2.9,USGDPYY
1987-03-31,0.0,2.7,2.7,2.7,2.7,USGDPYY
1987-06-30,0.0,3.4,3.4,3.4,3.4,USGDPYY
1987-09-30,0.0,3.3,3.3,3.3,3.3,USGDPYY
1987-12-31,0.0,4.5,4.5,4.5,4.5,USGDPYY
1988-03-31,0.0,4.2,4.2,4.2,4.2,USGDPYY
1988-06-30,0.0,4.5,4.5,4.5,4.5,USGDPYY
1988-09-30,0.0,4.2,4.2,4.2,4.2,USGDPYY
1988-12-31,0.0,3.8,3.8,3.8,3.8,USGDPYY
1989-03-31,0.0,4.3,4.3,4.3,4.3,USGDPYY
1989-06-30,0.0,3.8,3.8,3.8,3.8,USGDPYY
1989-09-30,0.0,3.9,3.9,3.9,3.9,USGDPYY
1989-12-31,0.0,2.7,2.7,2.7,2.7,USGDPYY
1990-03-31,0.0,2.8,2.8,2.8,2.8,USGDPYY
1990-06-30,0.0,2.4,2.4,2.4,2.4,USGDPYY
1990-09-30,0.0,1.7,1.7,1.7,1.7,USGDPYY
1990-12-31,0.0,0.6,0.6,0.6,0.6,USGDPYY
1991-03-31,0.0,-1.0,-1.0,-1.0,-1.0,USGDPYY
1991-06-30,0.0,-0.5,-0.5,-0.5,-0.5,USGDPYY
1991-09-30,0.0,-0.1,-0.1,-0.1,-0.1,USGDPYY
1991-12-31,0.0,1.2,1.2,1.2,1.2,USGDPYY
1992-03-31,0.0,2.9,2.9,2.9,2.9,USGDPYY
1992-06-30,0.0,3.2,3.2,3.2,3.2,USGDPYY
1992-09-30,0.0,3.7,3.7,3.7,3.7,USGDPYY
1992-12-31,0.0,4.4,4.4,4.4,4.4,USGDPYY
1993-03-31,0.0,3.3,3.3,3.3,3.3,USGDPYY
1993-06-30,0.0,2.8,2.8,2.8,2.8,USGDPYY
1993-09-30,0.0,2.3,2.3,2.3,2.3,USGDPYY
1993-12-31,0.0,2.6,2.6,2.6,2.6,USGDPYY
1994-03-31,0.0,3.4,3.4,3.4,3.4,USGDPYY
1994-06-30,0.0,4.2,4.2,4.2,4.2,USGDPYY
1994-09-30,0.0,4.3,4.3,4.3,4.3,USGDPYY
1994-12-31,0.0,4.1,4.1,4.1,4.1,USGDPYY
1995-03-31,0.0,3.5,3.5,3.5,3.5,USGDPYY
1995-06-30,0.0,2.4,2.4,2.4,2.4,USGDPYY
1995-09-30,0.0,2.7,2.7,2.7,2.7,USGDPYY
1995-12-31,0.0,2.2,2.2,2.2,2.2,USGDPYY
1996-03-31,0.0,2.6,2.6,2.6,2.6,USGDPYY
1996-06-30,0.0,4.0,4.0,4.0,4.0,USGDPYY
1996-09-30,0.0,4.1,4.1,4.1,4.1,USGDPYY
1996-12-31,0.0,4.4,4.4,4.4,4.4,USGDPYY
1997-03-31,0.0,4.3,4.3,4.3,4.3,USGDPYY
1997-06-30,0.0,4.3,4.3,4.3,4.3,USGDPYY
1997-09-30,0.0,4.7,4.7,4.7,4.7,USGDPYY
1997-12-31,0.0,4.5,4.5,4.5,4.5,USGDPYY
1998-03-31,0.0,4.9,4.9,4.9,4.9,USGDPYY
1998-06-30,0.0,4.1,4.1,4.1,4.1,USGDPYY
1998-09-30,0.0,4.1,4.1,4.1,4.1,USGDPYY
1998-12-31,0.0,4.9,4.9,4.9,4.9,USGDPYY
1999-03-31,0.0,4.8,4.8,4.8,4.8,USGDPYY
1999-06-30,0.0,4.7,4.7,4.7,4.7,USGDPYY
1999-09-30,0.0,4.8,4.8,4.8,4.8,USGDPYY
1999-12-31,0.0,4.8,4.8,4.8,4.8,USGDPYY
2000-03-31,0.0,4.2,4.2,4.2,4.2,USGDPYY
2000-06-30,0.0,5.2,5.2,5.2,5.2,USGDPYY
2000-09-30,0.0,4.0,4.0,4.0,4.0,USGDPYY
2000-12-31,0.0,2.9,2.9,2.9,2.9,USGDPYY
2001-03-31,0.0,2.2,2.2,2.2,2.2,USGDPYY
2001-06-30,0.0,1.0,1.0,1.0,1.0,USGDPYY
2001-09-30,0.0,0.5,0.5,0.5,0.5,USGDPYY
2001-12-31,0.0,0.2,0.2,0.2,0.2,USGDPYY
2002-03-31,0.0,1.3,1.3,1.3,1.3,USGDPYY
2002-06-30,0.0,1.3,1.3,1.3,1.3,USGDPYY
2002-09-30,0.0,2.1,2.1,2.1,2.1,USGDPYY
2002-12-31,0.0,2.0,2.0,2.0,2.0,USGDPYY
2003-03-31,0.0,1.7,1.7,1.7,1.7,USGDPYY
2003-06-30,0.0,2.0,2.0,2.0,2.0,USGDPYY
2003-09-30,0.0,3.2,3.2,3.2,3.2,USGDPYY
2003-12-31,0.0,4.3,4.3,4.3,4.3,USGDPYY
2004-03-31,0.0,4.4,4.4,4.4,4.4,USGDPYY
2004-06-30,0.0,4.2,4.2,4.2,4.2,USGDPYY
2004-09-30,0.0,3.5,3.5,3.5,3.5,USGDPYY
2004-12-31,0.0,3.4,3.4,3.4,3.4,USGDPYY
2005-03-31,0.0,3.9,3.9,3.9,3.9,USGDPYY
2005-06-30,0.0,3.6,3.6,3.6,3.6,USGDPYY
2005-09-30,0.0,3.5,3.5,3.5,3.5,USGDPYY
2005-12-31,0.0,3.0,3.0,3.0,3.0,USGDPYY
2006-03-31,0.0,3.2,3.2,3.2,3.2,USGDPYY
2006-06-30,0.0,3.0,3.0,3.0,3.0,USGDPYY
2006-09-30,0.0,2.3,2.3,2.3,2.3,USGDPYY
2006-12-31,0.0,2.6,2.6,2.6,2.6,USGDPYY
2007-03-31,0.0,1.5,1.5,1.5,1.5,USGDPYY
2007-06-30,0.0,1.9,1.9,1.9,1.9,USGDPYY
