date,Volume,Open,Close,High,Low,symbol
1976-12-31,0.0,4.9,4.9,4.9,4.9,USIRYY
1977-01-31,0.0,5.2,5.2,5.2,5.2,USIRYY
1977-02-28,0.0,5.9,5.9,5.9,5.9,USIRYY
1977-03-31,0.0,6.4,6.4,6.4,6.4,USIRYY
1977-04-30,0.0,7.0,7.0,7.0,7.0,USIRYY
1977-05-31,0.0,6.7,6.7,6.7,6.7,USIRYY
1977-06-30,0.0,6.9,6.9,6.9,6.9,USIRYY
1977-07-31,0.0,6.8,6.8,6.8,6.8,USIRYY
1977-08-31,0.0,6.6,6.6,6.6,6.6,USIRYY
1977-09-30,0.0,6.6,6.6,6.6,6.6,USIRYY
1977-10-31,0.0,6.4,6.4,6.4,6.4,USIRYY
1977-11-30,0.0,6.7,6.7,6.7,6.7,USIRYY
1977-12-31,0.0,6.7,6.7,6.7,6.7,USIRYY
1978-01-31,0.0,6.8,6.8,6.8,6.8,USIRYY
1978-02-28,0.0,6.4,6.4,6.4,6.4,USIRYY
1978-03-31,0.0,6.6,6.6,6.6,6.6,USIRYY
1978-04-30,0.0,6.5,6.5,6.5,6.5,USIRYY
1978-05-31,0.0,7.0,7.0,7.0,7.0,USIRYY
1978-06-30,0.0,7.4,7.4,7.4,7.4,USIRYY
1978-07-31,0.0,7.7,7.7,7.7,7.7,USIRYY
1978-08-31,0.0,7.8,7.8,7.8,7.8,USIRYY
1978-09-30,0.0,8.3,8.3,8.3,8.3,USIRYY
1978-10-31,0.0,8.9,8.9,8.9,8.9,USIRYY
1978-11-30,0.0,8.9,8.9,8.9,8.9,USIRYY
1978-12-31,0.0,9.0,9.0,9.0,9.0,USIRYY
1979-01-31,0.0,9.3,9.3,9.3,9.3,USIRYY
1979-02-28,0.0,9.9,9.9,9.9,9.9,USIRYY
1979-03-31,0.0,10.1,10.1,10.1,10.1,USIRYY
1979-04-30,0.0,10.5,10.5,10.5,10.5,USIRYY
1979-05-31,0.0,10.9,10.9,10.9,10.9,USIRYY
1979-06-30,0.0,10.9,10.9,10.9,10.9,USIRYY
1979-07-31,0.0,11.3,11.3,11.3,11.3,USIRYY
1979-08-31,0.0,11.8,11.8,11.8,11.8,USIRYY
1979-09-30,0.0,12.2,12.2,12.2,12.2,USIRYY
1979-10-31,0.0,12.1,12.1,12.1,12.1,USIRYY
1979-11-30,0.0,12.6,12.6,12.6,12.6,USIRYY
1979-12-31,0.0,13.3,13.3,13.3,13.3,USIRYY
1980-01-31,0.0,13.9,13.9,13.9,13.9,USIRYY
1980-02-29,0.0,14.2,14.2,14.2,14.2,USIRYY
1980-03-31,0.0,14.8,14.8,14.8,14.8,USIRYY
1980-04-30,0.0,14.7,14.7,14.7,14.7,USIRYY
1980-05-31,0.0,14.4,14.4,14.4,14.4,USIRYY
1980-06-30,0.0,14.4,14.4,14.4,14.4,USIRYY
1980-07-31,0.0,13.1,13.1,13.1,13.1,USIRYY
1980-08-31,0.0,12.9,12.9,12.9,12.9,USIRYY
1980-09-30,0.0,12.6,12.6,12.6,12.6,USIRYY
1980-10-31,0.0,12.8,12.8,12.8,12.8,USIRYY
1980-11-30,0.0,12.6,12.6,12.6,12.6,USIRYY
1980-12-31,0.0,12.5,12.5,12.5,12.5,USIRYY
1981-01-31,0.0,11.8,11.8,11.8,11.8,USIRYY
1981-02-28,0.0,11.4,11.4,11.4,11.4,USIRYY
1981-03-31,0.0,10.5,10.5,10.5,10.5,USIRYY
1981-04-30,0.0,10.0,10.0,10.0,10.0,USIRYY
1981-05-31,0.0,9.8,9.8,9.8,9.8,USIRYY
1981-06-30,0.0,9.6,9.6,9.6,9.6,USIRYY
1981-07-31,0.0,10.8,10.8,10.8,10.8,USIRYY
1981-08-31,0.0,10.8,10.8,10.8,10.8,USIRYY
1981-09-30,0.0,11.0,11.0,11.0,11.0,USIRYY
1981-10-31,0.0,10.1,10.1,10.1,10.1,USIRYY
1981-11-30,0.0,9.6,9.6,9.6,9.6,USIRYY
1981-12-31,0.0,8.9,8.9,8.9,8.9,USIRYY
1982-01-31,0.0,8.4,8.4,8.4,8.4,USIRYY
1982-02-28,0.0,7.6,7.6,7.6,7.6,USIRYY
1982-03-31,0.0,6.8,6.8,6.8,6.8,USIRYY
