date,Volume,Open,Close,High,Low,symbol
1985-11-01,0.0,8.0,8.0,8.0,8.0,USINTR
1985-12-02,0.0,8.0,8.0,8.0,8.0,USINTR
1985-12-17,0.0,7.75,7.75,7.75,7.75,USINTR
1986-01-02,0.0,7.75,7.75,7.75,7.75,USINTR
1986-02-03,0.0,7.75,7.75,7.75,7.75,USINTR
1986-03-03,0.0,7.75,7.75,7.75,7.75,USINTR
1986-03-07,0.0,7.25,7.25,7.25,7.25,USINTR
1986-04-01,0.0,7.25,7.25,7.25,7.25,USINTR
1986-04-21,0.0,6.75,6.75,6.75,6.75,USINTR
1986-05-01,0.0,6.75,6.75,6.75,6.75,USINTR
1986-05-20,0.0,6.88,6.88,6.88,6.88,USINTR
1986-06-02,0.0,6.88,6.88,6.88,6.88,USINTR
1986-07-01,0.0,6.88,6.88,6.88,6.88,USINTR
1986-07-11,0.0,6.38,6.38,6.38,6.38,USINTR
1986-08-01,0.0,6.38,6.38,6.38,6.38,USINTR
1986-08-19,0.0,5.88,5.88,5.88,5.88,USINTR
1986-09-02,0.0,5.88,5.88,5.88,5.88,USINTR
1986-10-01,0.0,5.88,5.88,5.88,5.88,USINTR
1986-11-03,0.0,5.88,5.88,5.88,5.88,USINTR
1986-12-01,0.0,5.88,5.88,5.88,5.88,USINTR
1986-12-16,0.0,6.0,6.0,6.0,6.0,USINTR
1987-01-02,0.0,6.0,6.0,6.0,6.0,USINTR
1987-02-02,0.0,6.0,6.0,6.0,6.0,USINTR
1987-03-02,0.0,6.0,6.0,6.0,6.0,USINTR
1987-04-01,0.0,6.0,6.0,6.0,6.0,USINTR
1987-04-30,0.0,6.5,6.5,6.5,6.5,USINTR
1987-05-01,0.0,6.5,6.5,6.5,6.5,USINTR
1987-05-20,0.0,6.75,6.75,6.75,6.75,USINTR
1987-06-01,0.0,6.75,6.75,6.75,6.75,USINTR
1987-07-01,0.0,6.75,6.75,6.75,6.75,USINTR
1987-08-03,0.0,6.75,6.75,6.75,6.75,USINTR
1987-09-01,0.0,6.75,6.75,6.75,6.75,USINTR
1987-09-03,0.0,7.0,7.0,7.0,7.0,USINTR
1987-09-04,0.0,7.25,7.25,7.25,7.25,USINTR
1987-10-01,0.0,7.25,7.25,7.25,7.25,USINTR
1987-11-04,0.0,6.88,6.88,6.88,6.88,USINTR
1987-12-01,0.0,6.88,6.88,6.88,6.88,USINTR
1988-01-04,0.0,6.88,6.88,6.88,6.88,USINTR
1988-01-05,0.0,6.63,6.63,6.63,6.63,USINTR
1988-02-01,0.0,6.63,6.63,6.63,6.63,USINTR
1988-02-10,0.0,6.5,6.5,6.5,6.5,USINTR
1988-03-01,0.0,6.5,6.5,6.5,6.5,USINTR
1988-03-29,0.0,6.75,6.75,6.75,6.75,USINTR
1988-04-04,0.0,6.75,6.75,6.75,6.75,USINTR
1988-05-02,0.0,6.75,6.75,6.75,6.75,USINTR
1988-05-17,0.0,7.0,7.0,7.0,7.0,USINTR
1988-05-25,0.0,7.25,7.25,7.25,7.25,USINTR
1988-06-01,0.0,7.25,7.25,7.25,7.25,USINTR
1988-06-22,0.0,7.5,7.5,7.5,7.5,USINTR
1988-07-01,0.0,7.5,7.5,7.5,7.5,USINTR
1988-07-19,0.0,7.75,7.75,7.75,7.75,USINTR
1988-08-01,0.0,7.75,7.75,7.75,7.75,USINTR
1988-08-09,0.0,8.25,8.25,8.25,8.25,USINTR
1988-09-01,0.0,8.25,8.25,8.25,8.25,USINTR
1988-10-03,0.0,8.25,8.25,8.25,8.25,USINTR
1988-11-01,0.0,8.25,8.25,8.25,8.25,USINTR
1988-11-22,0.0,8.38,8.38,8.38,8.38,USINTR
1988-12-01,0.0,8.38,8.38,8.38,8.38,USINTR
1988-12-14,0.0,8.75,8.75,8.75,8.75,USINTR
1989-01-03,0.0,8.75,8.75,8.75,8.75,USINTR
1989-02-01,0.0,8.75,8.75,8.75,8.75,USINTR
1989-02-08,0.0,9.0,9.0,9.0,9.0,USINTR
1989-02-14,0.0,9.38,9.38,9.38,9.38,USINTR
1989-02-23,0.0,9.63,9.63,9.63,9.63,USINTR
1989-02-24,0.0,9.75,9.75,9.75,9.75,USINTR
1989-03-01,0.0,9.75,9.75,9.75,9.75,USINTR
1989-04-03,0.0,9.75,9.75,9.75,9.75,USINTR
1989-05-01,0.0,9.75,9.75,9.75,9.75,USINTR
1989-06-01,0.0,9.75,9.75,9.75,9.75,USINTR
